catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
1777,PAIR OF PLATES,set,Ceramics,porcelain,ceramics; porcelain(enamelled),with phoenix and monsters in famille verte enamels,,Di. 36.2 cm,9 17C 18C,Qing,,,"MR. AND MRS. ALFRED CLARK, Iver Heath, Bucks",,private,"Buckinghamshire, U.K.",yes,,
1778,BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated in underglaze blue and enamel colours in Japanese Arita style,,,9 17C 18C,Qing,,,"S. D. WINKWORTH, Walton-on-the-Hill, Surrey",,private,"Surrey, U.K.",yes,,
1779,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,Children at Play,,63.2 by 88.8 cm,9 17C 18C,Ming,,,THE CHINESE GOVERNMENT,,government,China,,,
1780,TWELVE-FOLD "COROMANDEL" SCREEN,item,Lacquer,Furnishings,lacquer,decorated with phoenixes and flowers in a gold ground on one side and Dutch figures and landscape on the other,,H. 320 cm. W. 624 cm,9 17C 18C,Qing,,,"MADAME LANGWEIL, Paris",,private,"Paris, France",yes,,
1781&1782,SET OF THREE JARS AND COVERS &  PAIR OF BEAKERS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"with rocks, flowering plants and phoenixes in famille verte enamels, Companion pieces to No. 1782",,H. 78.7 cm,9 17C 18C,Qing,,,"ANTHONY DE ROTHSCHILD, London",,private,"London, U.K.",,,
1781&1782,SET OF THREE JARS AND COVERS &  PAIR OF BEAKERS,,Ceramics,porcelain,ceramics; porcelain(enamelled),"with rocks, flowering plants and phoenixes in famille verte enamels, Companion pieces to No. 1781",,H. 78.7 cm,9 17C 18C,Qing,,,"ANTHONY DE ROTHSCHILD, London",,private,"London, U.K.",,,
1783,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,A Bamboo Rod Changing into a Dragon,,95.3 by 42.7 cm,9 17C 18C,Ming,,,THE CHINESE GOVERNMENT,,government,China,,,
1784&1806,VASE,set,Ceramics,porcelain,ceramics; porcelain,"decorated with vases and dragons, white on blue, Pair with No. 1806",,H. 43.5 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1785&1807,BEAKER,set,Ceramics,porcelain,ceramics; porcelain,"with decoration in underglaze blue, Pair with No. 1807",,H. 45.5 cm,9 17C 18C,Qing,,,Lent ANONYMOUSLY,,private,,,,
1786,LARGE ROUND BRUSH WASHER,item,Ceramics,porcelain,ceramics; porcelain,"decorated in underglaze blue with a carp turning into a dragon, bottom unglazed",Mark of Kangxi period,Di. 39 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,,,
1787&1801,TRIPLE-GOURD VASE,set,Ceramics,porcelain,ceramics; porcelain,"decorated in underglaze blue with archaic bronze designs, Pair with No. 1801",,H. 43 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1788&1800,VASE,set,Ceramics,porcelain,ceramics; porcelain,"with decoration in underglaze blue, chrysanthemum scrolls, Pair with No. 1800",,H. 43 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1789,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"of blue and white, with ladies and children in garden",,H. 28.7 cm,9 17C 18C,Qing,,,"C. E. RUSSELL, London",,private,"London, U.K.",yes,,
1790,VASE,item,Ceramics,porcelain,ceramics; porcelain,"of blue and white, with sage in landscape",,H. 19.2 cm,9 17C 18C,Qing,,,"C. E. RUSSELL, London",,private,"London, U.K.",yes,,
1791,BOTTLE,item,Ceramics,porcelain,ceramics; porcelain,"with onion top, and landscape in blue and white",,H. 27.5 cm,9 17C 18C,Qing,,,"C. E. RUSSELL, London",,private,"London, U.K.",yes,,
1792,PLATE,item,Ceramics,porcelain,ceramics; porcelain,painted in underglaze blue with peach sprays,,Di. 16.3 cm,9 17C 18C,Qing,,,"MR. AND MRS. ALFRED CLARK, Iver Heath, Bucks",,private,"Buckinghamshire, U.K.",,,
1793&1803,COVERED JAR,set,Ceramics,porcelain,ceramics; porcelain,"with panels of landscape and emblems in underglaze blue, Pair with No. 1803",,H. 35 cm,9 17C 18C,Qing,,,Lent ANONYMOUSLY,,private,,yes,,
1794,VASE,item,Ceramics,porcelain,ceramics; porcelain,with dragons and waves in underglaze blue,,H. 48.2 cm,9 17C 18C,Qing,,,"C. E. RUSSELL, London",,private,"London, U.K.",yes,,
1795,VASE,item,Ceramics,porcelain,ceramics; porcelain,"decorated in underglaze blue, white prunus in a blue ground",,H. 44 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1796,VASE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, with river scene in underglaze blue",,H. 44 cm,9 17C 18C,Qing,,,"F. SCHILLER, Betchworth, Surrey",,private,"Surrey, U.K.",yes,,
1797,JAR,item,Ceramics,porcelain,ceramics; porcelain,decorated with prunus boughs in white in an underglaze blue ground,,H. 26 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1798,JAR,item,Ceramics,porcelain,ceramics; porcelain,decorated with prunus boughs in white in underglaze blue ground,,H. 25 cm,9 17C 18C,Qing,,,Lent ANONYMOUSLY,,private,,,,
1799,LARGE VASE,item,Ceramics,porcelain,ceramics; porcelain,"decorated in underglaze blue, dragon boat",,H. 77.5 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",,,
1788&1800,VASE,,Ceramics,porcelain,ceramics; porcelain,"with decoration in underglaze blue, chrysanthemum scrolls, Pair with No. 1788",,H. 43 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1787&1801,TRIPLE-GOURD VASE,,Ceramics,porcelain,ceramics; porcelain,"decorated in underglaze blue with archaic bronze designs, Pair with No. 1787",,H. 43 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1802,SET OF FIVE JARS,item,Ceramics,porcelain,ceramics; porcelain,decorated with tiger-lily scrolls in underglaze blue,,"H. 14.5 cm., 18 cm",9 17C 18C,Qing,,,Lent ANONYMOUSLY,,private,,,,
1793&1803,COVERED JAR,,Ceramics,porcelain,ceramics; porcelain,"with panels of landscape and emblems in underglaze blue, Pair with No. 1793",,H. 35 cm,9 17C 18C,Qing,,,Lent ANONYMOUSLY,,private,,yes,,
1804,PLATE,item,Ceramics,porcelain,ceramics; porcelain,painted with peach sprays in underglaze blue,Seal mark of Kangxi,Di. 16.3 cm,9 17C 18C,Qing,,,"MR. AND MRS. ALFRED CLARK, Iver Heath, Bucks",,private,"Buckinghamshire, U.K.",,,
1805,GARNITURE,item,Ceramics,porcelain,ceramics; porcelain,"decorated in underglaze blue with figure subjects, Three covered vases, Two beakers",,"H. 47 cm., 46 cm., 48 cm. H. 43 cm",9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1784&1806,VASE,,Ceramics,porcelain,ceramics; porcelain,"decorated with vases and dragons, white on blue, Pair with No. 1784",,H. 43.5 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1785&1807,BEAKER,,Ceramics,porcelain,ceramics; porcelain,"with decoration in underglaze blue, Pair with No. 1785",,H. 45.5 cm,9 17C 18C,Qing,,,Lent ANONYMOUSLY,,private,,,,
1808,SHAVING BOWL,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, painted in underglaze blue",,Di. 27 cm,9 17C 18C,Qing,,,"S. D. WINKWORTH, Walton-on-the-Hill, Surrey",,private,"Surrey, U.K.",yes,,
1809,CARPET,item,Textile,Furnishings,textiles; wool,,,294 by 175 cm,9 17C 18C,Qing,,,"F. GUTMANN, Heemstede, Holland",,private,"North Holland, The Netherlands",yes,,
1810,SILK TAPESTRY (k'o ssŭ),item,Textile,Furnishings,textiles; silk,Landscape,,90.2 by 35.6 cm,9 17C 18C,Song,,,THE CHINESE GOVERNMENT,,government,China,yes,,
1811,TWELVE-FOLD "COROMANDEL" SCREEN,item,Lacquer,Furnishings,lacquer,landscapes and figures,,H. 274.5 cm. L. 609.8 cm,9 17C 18C,Qing,,,"SAXTON NOBLE, London",,private,"London, U.K.",yes,,
1812&1834,SEATED FIGURE OF OFFICIAL,set,Metals,,metalwork; iron,"cast iron, Pair with No. 1834",,H. 72 cm,9 17C 18C,Ming,,,"CHARLES SHANNON, R.A.",,private,"London, U.K.",yes,,
1813,JAR,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"octagonal, porcelain, decorated with enamels and gilding in an iron-red ground, Good Wish characters in the panels",,H. 38 cm,9 17C 18C,Ming,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
1814,VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"of baluster form, decorated with fishes, water weeds, lotus and birds in underglaze blue and enamel colours in a buff crackled ground",,H. 63.4 cm,9 17C 18C,Ming,,,"ANTHONY DE ROTHSCHILD, London",,private,"London, U.K.",yes,,
1815,VASE,item,Ceramics,porcelain,ceramics; porcelain,"porcelain imitating cloisonné enamel, with lotus design in blue ground",Mark of Qianlong period,H. 38.1 cm. W. 33 cm,9 17C 18C,Qing,,,"R. C. BRUCE, London",,private,"London, U.K.",yes,,
1816&1830,VALANCE,set,Textile,Furnishings,textiles; silk,"embroidered silk, Pair with No. 1830",,,9 17C 18C,Qing,,,"THE MISSES LEESON, London",,private,"London, U.K.",,,
1817&1829,COVERED JAR,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"decorated in panels with famille verte enamel colours, in a seeded green ground, Pair with No. 1829",,H. 58 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1818,CARPET,item,Textile,Furnishings,textiles; wool,,,257 by 165 cm,9 17C 18C,Qing,,,"THE ANGLO-PERSIAN CARPET COMPANY, London",,private,"London, U.K.",,,
1819,FISH-BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, with ducks and water plants in dark underglaze blue and enamel colours",Mark of Lung-ch'ing period,Di. 54.5 cm,9 17C 18C,Ming,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
1820&1826,PAGODA,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, with decoration in underglaze blue and enamel colours, Pair with No. 1826",,H. 260 cm,9 17C 18C,Qing,,,"KENNETH CLARK, London",,private,"London, U.K.",,,
1821,PAIR OF CURTAINS and two bell-pulls,set,Textile,Furnishings,textiles; silk,"embroidered silk, Curtains",,W. 381.1 cm. L. 411.6 cm,9 17C 18C,Qing,,,"THE MISSES LEESON, London",,private,"London, U.K.",,,
1822,PALACE SCREEN,item,Organic Materials,,plant derived materials; teawood  ; enamel,"teakwood, with cloisonné enamel decorations and carvings of mountains and terraces",,H. 294 cm. W. 122.5 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,yes,,
1823,THRONE,item,Organic Materials,,plant derived materials; teawood  ; enamel,"teakwood, with decorations of cloisonné enamel and carvings of cloud scrolls and bats, With a footstool with designs in gold lacquer",,H. 96.5 cm. W. 110 cm,9 17C 18C,Qing,,,THE CHINESE GOVERNMENT,,government,China,yes,,
1824,PAIR OF CHINESE LIONS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled on the biscuit",,H. 59.6 on stand,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1825,CARPET,item,Textile,Furnishings,textiles; silk,,,175.4 by 88.8 cm,9 17C 18C,Ming,,,"SPINK AND SON, LTD., London",,private,"London, U.K.",yes,,
1820&1826,PAGODA,,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, with decoration in underglaze blue and enamel colours, Pair with No. 1820",,H. 260 cm,9 17C 18C,Qing,,,"KENNETH CLARK, London",,private,"London, U.K.",,,
1827,FISH BOWL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, decorated with dragons and fungus scrolls, in underglaze blue and yellow enamel",Mark of Wan-li period.,Di. 43.5 cm,9 17C 18C,Ming,,,"SIR PERCIVAL DAVID, BT., London",,private,"London, U.K.",yes,,
1828,CARPET,item,Textile,Furnishings,textiles; wool,,,270 by 175 cm,9 17C 18C,Qing,,,"THE ANGLO-PERSIAN CARPET COMPANY, London",,private,"London, U.K.",,,
1817&1829,COVERED JAR,,Ceramics,porcelain,ceramics; porcelain(enamelled),"decorated in panels with famille verte enamel colours, in a seeded green ground, Pair with No. 1817",,H. 58 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1816&1830,VALANCE,,Textile,Furnishings,textiles; silk,"embroidered silk, Pair with No. 1816",,,9 17C 18C,Qing,,,"THE MISSES LEESON, London",,private,"London, U.K.",,,
1831,BEAKER-SHAPED VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),with rectangular panels in famille verte enamel colours in a brocaded ground,,H. 72 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1832,VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated with lotus design and birds in green and yellow enamels in a turquoise ground,,H. 35.5 cm,9 17C 18C,Ming,,,"DR. LINDLEY SCOTT, London",,private,"London, U.K.",yes,,
1833,LARGE VASE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated in famille verte enamel colours with dragon boat,,H. 71.6 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1812&1834,SEATED FIGURE OF OFFICIAL,,Metals,,metalwork; iron,"cast iron, Pair with No. 1812",,H. 72 cm,9 17C 18C,Ming,,,"CHARLES SHANNON, R.A.",,private,"London, U.K.",yes,,
1835,TWELVE-FOLD "COROMANDEL" SCREEN,item,Lacquer,Furnishings,,landscape and figures,,H. 274.5 cm. L. 609.8 cm,9 17C 18C,Qing,,,"SAXTON NOBLE, London",,private,"London, U.K.",yes,,
1836&1847,PHEASANT,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain,  painted with coral red and enamels,Pair with No. 1847",,H. 33.7 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",,,
1837,CAT,item,Ceramics,porcelain,ceramics; porcelain,porcelain with blue glaze,,H. 14 cm,9 17C 18C,Qing,,,"HER GRACE THE DUCHESS OF ROXBURGHE, London",,private,"London, U.K.",,,
1838,PAIR OF PARROTS,set,Ceramics,porcelain,ceramics; porcelain,"porcelain, with aubergine glaze",,H. 25.5 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1839,FOUR CRANES,item,Ceramics,porcelain,ceramics; porcelain(enamelled),porcelain enamelled on the biscuit,,H. 44 cm,9 17C 18C,Qing,,,"HER GRACE THE DUCHESS OF ROXBURGHE, London",,private,"Berwickshire, U.K.",,,
1840,PAIR OF DUCKS standing on lotus leaves,set,Ceramics,porcelain,ceramics; porcelain(enamelled),porcelain enamelled in colours,,H. 25.5 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1841,THREE DUCKS,item,Ceramics,porcelain,ceramics; porcelain(enamelled),porcelain enamelled in colours,,H. 17 cm,9 17C 18C,Qing,,,"HER GRACE THE DUCHESS OF ROXBURGHE, London",,private,"London, U.K.",,,
1842,DUCK,item,Ceramics,stoneware,ceramics; stoneware,"stoneware, with a pale blue glaze, Kuangtung ware",,L. 21 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1843,DUCK,item,Ceramics,pottery,Zisha ceramics; pottery,Yi Hsing ware,,L. 18 cm,9 17C 18C,Qing,,,"DR. HERBERT VON KLEMPERER, Berlin",,private,"Berlin, Germany",yes,,
1844,PAIR OF GEESE,set,Ceramics,porcelain,ceramics; porcelain,"porcelain, with coloured glazes",,H 25.5 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1845,PAIR OF PHEASANTS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, decorated with famille rose enamels",,H. 35.5 cm,9 17C 18C,Qing,,,"DAVID HOLT, London",,private,"London, U.K.",yes,,
1846&1864,PHEASANT,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, decorated with famille rose enamels, Pair with No. 1864",,H. 61 cm,9 17C 18C,Qing,,,"HER GRACE THE DUCHESS OF ROXBURGHE, London",,private,"London, U.K.",yes,,
1836&1847,PHEASANT,,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain,  painted with coral red and enamels,Pair with No. 1836",,H. 33.7 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",,,
1848,QUAIL,item,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit,,H. 17 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1849,PAIR OF DUCKS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated with enamels on the biscuit,,H. 28 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1850,COCK,item,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit,,H. 30.5 cm,9 17C 18C,Qing,,,"DR. LINDLEY SCOTT, London",,private,"London, U.K.",yes,,
1851,COCK,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, decorated in enamel colours",,H. 25.4 cm,9 17C 18C,Qing,,,"HER GRACE THE DUCHESS OF ROXBURGHE, London",,private,"London, U.K.",yes,,
1852,DEER standing on a rocky base,item,Ceramics,pottery,ceramics; porcelain,"porcelain, with peach-bloom glaze",,H. 15.5 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1853,HORSE AND MAN,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled on the biscuit",,H. 10.7 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1854,HORSE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled in black on the biscuit",,H. 12.1 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1855,HORSE,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled in aubergine on the biscuit",,H. 11.4 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1856,PAIR OF CATS,set,Ceramics,porcelain,ceramics; porcelain,with yellow-glazed and aubergine patches,,H. 13.4 cm. W. 10.9 cm,9 17C 18C,Qing,,,"W. F. VAN HEUKELOM, Amsterdam",,private,"Amsterdam, Netherlands",yes,,
1857,PAIR OF LIONS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit,,H. 15.2 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1858,FIGURE OF LAO TZŬ,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"seated on a buffalo, Porcelain with coloured glazes",,H. 30 cm,9 17C 18C,Qing,,,"DR. HERBERT VON KLEMPERER, Berlin",,private,"Berlin, Germany",yes,,
1859,FIGURES OF A MAN AND OF A WOMAN,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, enamelled on the biscuit",,H. 25 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1860,GROUP of two dogs,item,Ceramics,porcelain,ceramics; porcelain,white porcelain,,H. 9.4 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1861,PAIR OF LIONS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),enamelled on the biscuit,,H. 15.2 cm,9 17C 18C,Qing,,,"DR. LEONARD GOW, nr. Helensburgh, Dumbartonshire",,private,"Dumbartonshire, U.K.",yes,,
1862,PAIR OF SPARROWHAWKS,set,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, with blue and brown enamel decoration",,H. 27.9 cm,9 17C 18C,Qing,,,"HER GRACE THE DUCHESS OF ROXBURGHE, London",,private,"London, U.K.",,,
1863,COCK,item,Ceramics,porcelain,ceramics; porcelain(enamelled),decorated in famille rose enamels,,H. 31.5 cm,9 17C 18C,Qing,,,"MRS. W. J. HOLT, London",,private,"London, U.K.",yes,,
1846&1864,PHEASANT,,Ceramics,porcelain,ceramics; porcelain(enamelled),"porcelain, decorated with famille rose enamels, Pair with No. 1846",,H. 61 cm,9 17C 18C,Qing,,,"HER GRACE THE DUCHESS OF ROXBURGHE, London",,private,"London, U.K.",yes,,
1865,EWER,item,Ceramics,porcelain,ceramics; porcelain(enamelled),"in form of a monkey, with aubergine enamel on the biscuit",,H. 15 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1866,MONKEY holding a peach in one hand,item,Ceramics,porcelain,ceramics; porcelain,"porcelain, penciled with rouge de fer",,H. 21.6 cm,9 17C 18C,Qing,,,"THE HON. LADY WARD, London",,private,"London, U.K.",yes,,
1867,FISH BOWL,item,Ceramics,porcelain,ceramics; pottery,"pottery, with lotus decoration in coloured glazes, purplish-blue ground",,Di. 86.4 cm,9 17C 18C,Ming,,,"SAXTON NOBLE, London",,private,"London, U.K.",yes,,
1868,Painting in colour on silk,item,Paintings and Calligraphy,Genre painting,textiles; silk,The Four Happy Omens,,H. 185.5 cm. W. 87.1 cm,10 Late Ming,Qing,,CHIANG TING-HSI (A.D. 1669-1732),THE CHINESE GOVERNMENT,,government,China,,,
